Species,Quality
6,1.920513776
5,2.150402403
7,1.505325952
5,1.933705378
5,1.652851748
5,1.851024102
5,1.86921135
5,1.332723135
4,1.079099103
4,1.783855859
4,1.112173399
6,1.481309535
6,0.922391329
4,1.445428428
4,1.439380911
4,0.995276205
0,-0.959716836
6,0.739320028
3,1.36363995
6,1.271169736
5,1.198309954
5,1.070547705
5,1.136053533
4,1.40216821
0,0.57327969
5,1.308542248
1,-0.565554648
0,-0.77343356
5,1.083734209
5,0.857250407
4,1.926966824
4,1.533553022
5,1.400205243
6,0.915483397
3,1.543878374
4,2.427772069
5,1.90436412
3,1.974016118
5,1.220222481
5,2.247531286
4,1.127644853
6,0.773761117
6,1.370702451
5,1.211308557
5,1.475972576
4,1.15597478
4,1.473614824
6,1.893074198
5,1.021988555
4,1.783729988
3,0.972547269
3,0.838795264
6,1.851567829
5,1.920999498
5,0.961437081
5,1.55341616
7,1.297177101
1,0.985023639
5,1.14105822
4,1.455216297
4,0.802573421
4,0.796082774
4,2.22307999
4,1.598878639
5,1.064592918
4,1.21691804
5,1.704637019
5,0.748192148
1,0.912471247
6,0.629553716
5,2.075380727
4,1.476391344
4,1.95126845
5,2.33764785
5,1.237973436
4,1.917786636
6,1.087258279
5,1.438170719
6,0.855255019
6,1.414723391
6,0.903924968
6,1.445315684
6,0.254669127
5,1.043542145
5,1.963795219
5,2.007106181
3,1.733966704
4,1.378848237
1,0.565081528
5,1.24985795
6,0.651519599
4,1.517739826
0,-0.732608489
5,1.920365797
6,2.414133691
5,1.659868424
6,1.216673354
