y.1,y.2,y.3,woody,date.1,date.2,date.3
1,0,1,30,6,25,34
1,1,0,5,20,32,54
0,1,1,35,20,32,47
1,0,1,30,20,32,47
0,0,0,10,8,27,36
1,1,1,40,8,27,36
0,0,0,20,8,27,36
0,0,0,0,1,27,36
0,1,1,20,1,27,36
0,0,0,15,1,27,36
0,1,0,20,1,27,36
1,1,0,40,1,27,36
1,1,0,70,9,22,39
1,1,0,55,9,22,39
1,1,0,50,10,13,44
1,0,0,40,10,30,44
0,0,0,20,10,30,44
0,0,0,20,10,30,44
1,1,0,15,10,30,44
1,0,1,30,10,30,44
0,0,0,5,9,22,39
1,1,1,70,9,22,39
0,0,0,30,15,30,44
1,0,0,25,15,30,44
1,0,0,40,8,18,33
1,1,1,55,8,18,33
1,1,1,80,8,18,33
1,1,0,45,8,18,33
0,0,0,30,1,20,33
1,1,0,35,1,20,33
0,0,0,30,1,20,33
0,1,1,40,1,20,33
1,0,0,25,5,25,34
0,0,0,5,5,25,34
1,1,0,10,5,25,34
0,0,0,0,5,25,34
0,0,0,5,5,25,34
0,0,0,25,11,29,38
1,0,1,70,11,29,36
1,1,1,45,11,29,38
1,0,0,60,11,29,38
1,0,0,10,11,29,38
0,0,0,5,19,31,40
0,0,0,50,19,31,40
1,1,0,35,19,31,40
1,0,0,20,10,22,39
1,1,0,55,10,22,39
0,1,1,35,23,32,47
1,1,1,45,23,32,47
1,0,0,55,23,32,47
